Name,Number,Reporting jurisdictions (determined by regulator),Principal jurisdiction,Type,In default,Active cease trade order (Ban trading BY/ Ban Trading OF)
Fidelity Japan Fund / Fonds Fidelity Japon,000000504,"AB, BC, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
BMO Canadian Equity ETF Fund / BMO Fonds FNB d'actions canadiennes,000001650,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Cyber Security Income & Growth Fund / Cyber Security Income & Growth Fund,000037625,"AB, NL, NT, NU, YT",ON,Investment fund,Yes,No
Qwest Energy Flow-Through 2015 Limited Partnership / Qwest Energy Flow-Through 2015 Limited Partnership,000037633,"NL, NT, NU, YT",BC,Investment fund,No,No
Counsel North American High Yield Bond / Counsel North American High Yield Bond,000037647,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Lysander TDV Fund / Fonds VDV Lysander,000037652,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Fidelity Dividend Multi-Asset Base Fund / Fonds Fidelity Dividendes Composantes multi-actifs,000037660,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Fidelity North American Equity Investment Trust / Fiducie de placement Fidelity Actions nord-américaines,000037661,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Fidelity North American Equity Class / Catégorie Fidelity Actions nord-américaines,000037663,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Fidelity Global Intrinsic Value Currency Neutral Class / Catégorie Fidelity Valeur intrinsèque mondiale - Devises neutres,000037664,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
BMO European Fund / BMO Fonds européen,000001651,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
"Canada Life Foreign Bond Fund (formerly, Canada Life International Bond Fund (CLI)) / Fonds d'obligations internationales (CLI) Canada Vie",000037753,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
"Canada Life Global Strategic Income Fund (formerly, Canada Life Global Monthly Income Fund ) / Canada Life Global Strategic Income Fund (formerly, Canada Life Global Monthly Income Fund)",000037754,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
"Canada Life Global Infrastructure Fund (formerly, Canada Life Global Infrastructure Equity Fund (London Capital)) / Canada Life Global Infrastructure Fund (formerly, Fonds d'actions mondiales d'infrastructures (Gestion des capitaux Lond",000037755,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
"Canada Life Global Dividend Fund (formerly, Canada Life Global Dividend Equity Fund (Setanta)) / Canada Life Global Dividend Fund (formerly, Fonds d' actions dividendes mondiaux (Setanta) Canada Vie)",000037756,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
"Canada Life U.S. Dividend Fund (formerly, Canada Life US Dividend Fund (GWLIM)) / Canada Life U.S. Dividend Fund (formerly, Fonds de dividendes américains (GIGWL) Canada Vie)",000037758,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
IA Clarington U.S. Dollar Floating Rate Income Fund / Fonds IA Clarington de revenu à taux variable en dollars U.S.,000037798,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",QC,Investment fund,No,No
CI G5|20i 2036 Q1 Fund / Fonds G5|20i 2036 T1 CI,000037835,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Balanced Income Portfolio / Portefeuille de revenu équilibré,000037847,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
